Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population,Income composition of resources
Afghanistan,2006,Developing,57.3,295.0,84,0.03,17.17151751,64.0,1990,14.7,116,58.0,7.43,58.0,0.1,272.56377,2589345.0,0.405
Albania,2006,Developing,74.2,99.0,1,5.31,3.3021542,98.0,68,5.8,1,97.0,5.86,97.0,0.1,35.1293,2992547.0,0.696
Algeria,2006,Developing,73.4,132.0,20,0.36,270.2401962,8.0,944,49.8,23,95.0,3.36,95.0,0.1,3464.6179,33777915.0,0.686
Angola,2006,Developing,47.7,381.0,90,5.84,25.08688824,0.0,765,18.2,143,36.0,4.54,34.0,2.5,262.415149,2262399.0,0.439
Antigua and Barbuda,2006,Developing,74.8,145.0,0,8.93,216.3146941,99.0,0,42.0,0,99.0,4.34,99.0,0.1,12724.39377,0.0,0.773
Argentina,2006,Developing,75.2,127.0,11,7.75,961.1774676,84.0,0,57.5,12,92.0,6.68,91.0,0.1,5878.76127,3955889.0,0.782
Armenia,2006,Developing,72.9,141.0,1,4.01,244.5352767,78.0,137,49.2,1,87.0,4.58,87.0,0.1,2158.299,29585.0,0.692
Australia,2006,Developed,81.2,66.0,1,10.31,6187.062017,95.0,0,62.0,2,92.0,8.49,92.0,0.1,36118.28381,26979.0,0.915
Austria,2006,Developed,79.8,81.0,0,12.4,69.92899358,83.0,23,53.2,0,83.0,1.35,83.0,0.1,443.99361,8268641.0,0.854
Azerbaijan,2006,Developing,69.2,154.0,6,0.85,105.6337264,52.0,222,45.3,7,8.0,6.17,78.0,0.1,2473.85776,848455.0,0.682
Bahamas,2006,Developing,74.2,171.0,0,11.07,0.0,96.0,0,58.7,0,94.0,6.93,95.0,0.1,0.0,0.0,0.788
Bahrain,2006,Developing,75.5,79.0,0,2.1,170.7374027,98.0,3,56.8,0,98.0,3.8,98.0,0.1,1937.99549,0.0,0.81
Bangladesh,2006,Developing,68.2,152.0,164,0.01,42.3304549,86.0,6192,13.0,215,95.0,2.8,94.0,0.1,494.51466,1453684.0,0.506
Barbados,2006,Developing,74.1,115.0,0,8.39,181.5000856,84.0,0,47.7,0,85.0,5.27,84.0,0.1,15646.5591,0.0,0.766
Belarus,2006,Developing,68.9,243.0,1,12.6,364.426052,98.0,149,57.2,1,97.0,6.34,99.0,0.1,3848.215966,964924.0,0.723
Belgium,2006,Developed,79.4,85.0,0,10.98,5579.199083,94.0,15,6.6,1,99.0,9.17,98.0,0.1,38852.3613,1547958.0,0.865
Belize,2006,Developing,69.4,184.0,0,6.48,387.3324928,98.0,0,44.4,0,98.0,4.4,98.0,0.6,4187.3783,29747.0,0.692
Benin,2006,Developing,56.8,284.0,25,1.19,75.91429496,74.0,176,21.0,39,76.0,4.75,74.0,2.0,625.8392,8216896.0,0.434
Bhutan,2006,Developing,65.8,245.0,1,0.29,169.2023968,95.0,2,17.4,1,96.0,5.27,95.0,0.3,1335.45696,672228.0,0.0
Bolivia (Plurinational State of),2006,Developing,66.2,219.0,11,3.23,0.0,83.0,0,46.7,15,82.0,5.19,83.0,0.2,0.0,0.0,0.625
Bosnia and Herzegovina,2006,Developing,75.7,1.0,0,4.82,38.25414065,9.0,17,51.0,0,91.0,8.28,87.0,0.1,344.321698,3779468.0,0.697
Botswana,2006,Developing,54.8,491.0,2,6.45,76.31867911,93.0,6,33.2,3,96.0,4.93,96.0,14.4,5374.554867,1884238.0,0.61
Brazil,2006,Developing,73.0,161.0,70,7.1,30.30374691,99.0,57,48.6,79,99.0,8.36,99.0,0.1,586.145975,18912412.0,0.698
Brunei Darussalam,2006,Developing,76.3,93.0,0,0.67,24.97532919,99.0,0,32.2,0,94.0,2.24,97.0,0.1,398.96692,0.0,0.837
Bulgaria,2006,Developed,72.2,161.0,1,10.39,508.6304588,96.0,1,6.3,1,96.0,6.67,95.0,0.1,4513.13628,76122.0,0.75
Burkina Faso,2006,Developing,54.3,32.0,47,4.73,64.24025208,76.0,125,14.6,86,94.0,6.58,86.0,2.0,422.6332374,13829177.0,0.325
Burundi,2006,Developing,54.1,361.0,24,4.5,21.24915339,92.0,784,14.5,36,88.0,11.49,92.0,3.8,165.8794176,7675338.0,0.29
Côte d'Ivoire,2006,Developing,49.4,452.0,62,2.65,0.0,77.0,11,22.6,89,76.0,5.87,77.0,5.8,0.0,0.0,0.0
Cabo Verde,2006,Developing,72.1,129.0,0,4.25,26.45133197,95.0,0,24.9,0,97.0,5.11,96.0,0.6,234.28992,48795.0,0.596
Cambodia,2006,Developing,64.1,216.0,17,2.03,51.50447119,8.0,188,14.3,21,8.0,4.48,8.0,1.1,539.8791529,13474489.0,0.483
Cameroon,2006,Developing,53.3,394.0,58,5.22,0.962497052,81.0,196,23.8,91,78.0,4.69,81.0,7.2,12.989164,17899562.0,0.456
Canada,2006,Developing,85.0,75.0,2,8.2,771.1817686,14.0,13,61.9,2,95.0,9.75,95.0,0.1,4386.69948,325755.0,0.891
Central African Republic,2006,Developing,46.3,56.0,17,1.54,46.90117916,0.0,3,18.6,26,47.0,3.99,51.0,10.0,347.673678,421758.0,0.323
Chad,2006,Developing,48.5,414.0,45,0.41,62.67225971,0.0,1594,15.7,80,49.0,3.32,4.0,5.1,712.1847694,1421597.0,0.303
Chile,2006,Developing,78.9,91.0,2,7.33,1275.689625,95.0,0,58.1,2,94.0,6.18,94.0,0.1,9484.681227,16319792.0,0.796
China,2006,Developing,74.2,98.0,307,3.28,29.74342979,91.0,99602,24.9,360,94.0,4.52,93.0,0.1,299.229676,13112.0,0.646
Colombia,2006,Developing,73.1,147.0,15,4.53,62.43710774,93.0,0,51.3,17,94.0,6.11,93.0,0.1,379.78776,43835722.0,0.669
Comoros,2006,Developing,63.0,262.0,2,0.25,77.0283958,69.0,85,19.6,2,69.0,4.57,69.0,0.1,648.38717,626425.0,0.451
Congo,2006,Developing,56.9,368.0,8,2.25,0.0,0.0,126,22.3,12,73.0,2.37,73.0,5.5,0.0,0.0,0.507
Costa Rica,2006,Developing,78.0,16.0,1,4.15,1185.412346,88.0,0,51.4,1,89.0,7.82,89.0,0.1,5245.187372,438794.0,0.727
Croatia,2006,Developed,75.9,113.0,0,11.83,1555.651986,0.0,1,58.1,0,96.0,6.95,96.0,0.1,11363.41845,444.0,0.783
Cuba,2006,Developing,78.0,14.0,1,4.17,523.4724284,89.0,0,54.6,1,99.0,7.67,89.0,0.1,4669.6916,0.0,0.732
Cyprus,2006,Developed,78.8,64.0,0,11.47,1700.841534,93.0,0,55.8,0,97.0,6.28,97.0,0.1,27169.99256,14559.0,0.829
Czechia,2006,Developed,76.5,19.0,0,13.03,0.0,98.0,7,61.8,0,98.0,6.69,98.0,0.1,0.0,0.0,0.0
Democratic People's Republic of Korea,2006,Developing,68.5,165.0,10,3.28,0.0,96.0,0,28.2,12,98.0,0.0,89.0,0.1,0.0,0.0,0.0
Democratic Republic of the Congo,2006,Developing,55.0,36.0,235,1.53,0.0,0.0,80123,17.3,327,62.0,3.39,62.0,2.0,0.0,0.0,0.0
Denmark,2006,Developed,78.1,93.0,0,11.02,850.9544783,0.0,27,55.4,0,93.0,9.92,93.0,0.1,5226.99311,5437272.0,0.902
Djibouti,2006,Developing,59.1,39.0,2,1.02,121.4812077,0.0,49,3.6,2,72.0,7.5,72.0,3.7,965.6693779,79628.0,0.405
